날짜,전산업생산지수,광공업,건설업,서비스업,공공행정
2004/2,65.2,60.332,83.197,66.2,60.5
2004/3,71.8,64.836,101.926,72.1,69.6
2004/4,70.7,62.898,102.106,70.5,75.2
2004/5,70.6,63.032,101.317,71.0,70.3
2004/6,71.3,62.889,109.905,70.9,72.1
2004/7,69.5,60.567,99.02,69.5,81.0
2004/8,67.9,59.281,101.376,68.2,70.2
2004/9,70.7,60.964,106.981,69.8,86.7
2004/10,71.9,65.921,105.445,70.6,74.6
2004/11,72.3,66.5,108.15,70.2,77.7
2004/12,77.9,65.803,129.929,75.0,104.9
2005/1,69.6,65.342,82.063,69.3,77.4
2005/2,64.6,56.235,75.288,66.8,72.2
2005/3,74.3,68.4,101.273,73.1,79.2
2005/4,72.6,66.006,105.019,71.4,74.3
2005/5,73.5,66.273,108.101,72.8,71.8
2005/6,74.3,65.608,117.26,72.9,75.5
2005/7,72.9,65.342,99.7,72.1,82.3
2005/8,71.5,63.016,102.366,72.1,69.8
2005/9,74.4,64.744,106.2,73.3,90.8
2005/10,75.4,70.261,106.224,73.8,75.9
2005/11,78.2,73.518,117.952,74.9,79.1
2005/12,84.4,72.853,134.364,80.5,109.7
2006/1,73.3,68.998,79.51,73.1,88.0
2006/2,70.1,66.738,79.596,70.8,68.4
2006/3,78.0,74.315,103.067,77.1,73.2
2006/4,76.7,71.125,102.572,75.4,82.4
2006/5,77.9,72.787,103.716,76.8,79.9
2006/6,77.6,71.723,112.692,76.1,75.3
2006/7,73.5,66.34,93.753,73.8,80.3
2006/8,75.9,69.33,100.03,75.7,79.1
2006/9,81.4,76.443,116.372,78.4,86.9
2006/10,78.5,73.651,108.41,76.4,82.6
2006/11,82.2,78.77,119.422,78.8,81.2
2006/12,87.4,74.449,137.243,85.1,106.6
2007/1,77.0,74.981,87.882,76.8,75.7
2007/2,74.4,66.605,84.752,75.3,91.5
2007/3,81.7,76.908,103.443,81.2,82.7
2007/4,80.3,75.645,106.472,79.6,76.9
2007/5,81.7,76.975,107.078,81.5,75.2
2007/6,82.8,76.51,115.024,82.1,79.3
2007/7,81.4,75.379,103.439,81.1,85.3
2007/8,81.5,75.579,105.634,82.0,76.3
2007/9,81.8,74.183,105.765,81.6,90.2
2007/10,86.3,85.483,113.95,83.9,77.0
2007/11,86.7,84.819,121.769,83.9,76.5
2007/12,93.4,81.428,143.774,90.0,116.5
2008/1,83.6,83.954,91.856,82.9,77.2
2008/2,78.7,73.85,81.725,80.0,87.4
2008/3,86.7,85.217,98.632,86.2,83.5
2008/4,85.5,84.087,99.73,84.5,83.6
2008/5,86.0,84.087,101.228,85.6,79.6
2008/6,85.0,82.093,105.363,84.6,77.5
2008/7,84.9,82.027,94.49,84.6,88.8
2008/8,82.1,77.241,96.447,83.8,73.6
2008/9,84.9,79.102,102.647,84.6,93.5
2008/10,85.3,84.154,101.916,84.7,76.5
2008/11,81.4,73.318,103.969,83.3,76.2
2008/12,86.5,66.472,115.455,88.9,125.6
2009/1,76.4,62.749,81.583,81.5,91.7
2009/2,76.0,66.937,82.025,80.0,78.8
2009/3,84.1,76.642,93.611,84.9,100.2
2009/4,84.6,77.906,99.956,85.2,92.3
2009/5,83.3,77.174,98.028,85.5,76.1
2009/6,88.4,81.562,122.369,86.7,94.2
2009/7,85.5,82.824,94.869,85.8,84.6
2009/8,82.8,78.304,90.825,85.1,74.9
2009/9,91.6,88.673,113.169,88.6,103.5
2009/10,86.5,85.151,98.516,86.8,75.4
2009/11,88.1,86.879,109.136,86.8,79.1
2009/12,98.5,89.604,129.96,95.8,124.5
2010/1,85.2,87.049,84.981,84.9,78.0
2010/2,83.2,79.648,80.445,83.7,100.4
2010/3,94.0,94.08,99.772,90.7,114.4
2010/4,90.4,93.617,94.192,88.6,84.4
2010/5,91.2,92.599,98.478,90.5,82.5
2010/6,94.3,94.635,114.551,90.9,100.0
2010/7,90.9,94.542,94.796,89.1,83.0
2010/8,87.5,89.269,90.727,87.8,72.5
2010/9,89.8,90.194,93.545,88.6,94.3
2010/10,91.7,97.317,92.781,89.8,78.0
2010/11,92.4,97.502,100.651,89.9,79.7
2010/12,102.4,99.63,130.027,98.0,124.9
2011/1,92.1,97.41,76.626,89.5,101.2
2011/2,82.8,85.106,65.433,84.2,77.3
2011/3,97.6,102.313,93.788,93.0,114.9
2011/4,93.1,98.797,86.407,91.3,85.9
2011/5,93.7,99.167,89.214,92.4,81.2
2011/6,97.1,100.278,113.33,93.5,94.5
2011/7,93.0,98.057,80.69,92.2,85.4
2011/8,91.0,93.987,82.309,92.2,74.0
2011/9,94.2,96.577,92.344,92.4,98.0
2011/10,94.9,101.48,94.499,93.1,77.0
2011/11,94.9,101.11,93.454,92.8,82.3
2011/12,104.1,101.943,132.17,99.9,122.2
2012/1,90.8,94.357,68.235,89.7,104.0
2012/2,90.8,98.15,70.846,89.2,85.6
2012/3,98.2,103.238,87.15,94.5,114.2
2012/4,92.9,98.797,80.052,91.8,85.2
2012/5,96.0,102.405,85.78,94.7,83.9
2012/6,97.1,101.018,97.63,94.7,96.4
2012/7,94.5,98.057,83.396,93.7,94.1
2012/8,90.8,92.784,77.839,92.9,76.2
2012/9,95.5,96.855,90.751,94.5,100.9
2012/10,94.4,100.648,86.583,93.6,77.0
2012/11,96.8,104.163,95.631,94.2,81.3
2012/12,104.1,102.035,120.92,100.6,126.2
2013/1,94.3,102.868,73.701,91.4,95.3
2013/2,89.6,90.009,72.939,89.7,103.6
2013/3,97.8,101.388,90.027,95.3,108.1
2013/4,96.8,101.295,95.345,94.3,95.7
2013/5,97.6,102.313,96.232,96.2,86.3
2013/6,97.9,99.722,111.943,95.6,94.1
2013/7,96.2,99.907,92.658,94.3,96.9
2013/8,93.7,96.115,90.375,94.4,78.9
2013/9,94.6,93.525,95.889,94.2,101.3
2013/10,98.7,104.81,101.23,96.3,84.4
2013/11,98.3,103.793,106.53,95.9,82.3
2013/12,106.3,104.903,124.959,102.4,127.1
2014/1,95.4,98.52,82.3,93.7,106.6
2014/2,91.1,93.617,77.66,91.0,92.5
2014/3,100.7,104.533,92.329,97.8,112.7
2014/4,98.4,103.885,98.302,95.5,94.5
2014/5,97.3,100.37,95.156,97.3,84.0
2014/6,99.6,100.463,110.37,98.0,98.2
2014/7,99.2,104.07,91.91,97.3,97.4
2014/8,94.4,93.617,89.722,96.5,85.3
2014/9,96.2,95.467,92.025,96.8,99.5
2014/10,98.9,101.85,95.473,98.9,87.7
2014/11,98.0,100.555,96.649,98.1,85.1
2014/12,108.8,106.383,121.3,105.9,132.0
2015/1,95.6,99.7,82.1,95.1,90.8
2015/2,91.0,88.8,80.2,93.1,93.1
2015/3,101.6,103.3,93.2,100.8,106.3
2015/4,99.6,101.4,92.6,99.3,99.6
2015/5,97.9,97.3,93.5,99.4,92.8
2015/6,102.3,101.5,114.7,99.9,113.8
2015/7,98.7,100.4,94.9,99.3,89.9
2015/8,96.5,94.7,95.3,98.6,89.6
2015/9,100.5,100.0,107.3,100.3,99.4
2015/10,102.4,105.1,101.9,102.0,94.2
2015/11,101.6,102.8,104.0,101.1,98.3
2015/12,112.2,105.1,140.2,111.0,132.3
2016/1,97.0,99.1,88.1,97.4,91.9
2016/2,93.4,90.7,87.2,95.3,96.5
2016/3,105.1,105.7,112.4,103.4,109.8
2016/4,100.8,99.7,105.1,101.4,98.5
2016/5,102.6,102.6,109.1,102.7,96.6
2016/6,107.1,104.7,134.9,104.4,116.1
2016/7,101.8,102.4,110.7,102.2,89.5
2016/8,100.8,98.0,114.2,102.4,92.0
2016/9,101.8,98.7,117.4,102.6,98.2
2016/10,104.3,104.4,120.4,103.5,97.0
2016/11,106.3,108.9,131.5,103.3,97.6
2016/12,116.5,111.4,159.1,112.9,133.9
2017/1,99.4,100.8,101.0,99.4,92.1
2017/2,98.5,98.8,107.8,97.4,98.5
2017/3,109.7,111.0,135.5,105.6,114.5
2017/4,104.3,104.1,125.9,103.1,98.1
2017/5,105.3,104.8,127.2,104.6,96.4
2017/6,109.1,105.5,147.4,106.1,117.8
2017/7,104.5,104.9,125.8,103.6,93.1
2017/8,103.4,101.3,124.4,104.0,92.7
2017/9,109.9,109.4,138.9,107.8,105.3
2017/10,101.9,99.8,120.1,102.4,94.0
2017/11,108.4,109.4,133.7,106.4,100.1
2017/12,116.2,107.4,161.3,114.1,137.8
2018/1,104.4,106.2,117.0,103.2,95.1
2018/2,98.1,93.4,106.9,99.8,99.6
2018/3,109.5,108.4,128.4,108.0,110.8
2018/4,107.1,106.4,126.3,106.1,102.7
2018/5,107.6,107.4,124.5,107.1,99.8
2018/6,110.4,107.8,140.0,108.2,115.4
2018/7,107.3,108.4,120.4,106.5,98.5
2018/8,105.8,105.5,119.6,105.8,96.5
2018/9,105.0,102.3,115.5,106.0,102.4
2018/10,109.8,112.5,118.0,108.3,101.9
2018/11,108.8,109.7,121.0,107.7,103.6
2018/12,116.7,108.2,146.7,115.8,139.6
2019/1,105.0,105.2,104.4,105.8,98.4
2019/2,95.9,89.6,93.4,99.4,100.2
2019/3,108.4,105.7,118.6,108.7,111.2
2019/4,107.8,106.8,114.8,107.7,107.1
2019/5,109.1,108.2,116.7,109.5,104.7
2019/6,109.4,105.6,132.7,108.2,118.1
2019/7,108.3,110.1,109.8,108.0,101.8
